=== System Matrix ===
Size: 66 x 66
 (-0.0467683,0)     (2.24575,0)    (0.112357,0)    (0.129071,0)  (-0.0852709,0)  (-0.0103183,0)    (0.180755,0)   (-0.485884,0)      (1.0087,0)    (-2.07228,0)     (8.09808,0)    (-4.06046,0)    (-2.03084,0)     (1.25144,0)   (-0.450843,0)    (0.159554,0)    (-0.20812,0)    (0.254969,0)   (-0.296662,0)    (0.295974,0)    (-0.25411,0)  (-0.0515723,0)  (-0.0341453,0) (-0.00265172,0)    (0.248656,0)    (0.791267,0)     (1.16417,0)    (0.953609,0)    (0.402989,0)    (0.109026,0)   (-0.508699,0)      (1.1403,0)    (-1.87303,0)     (2.87252,0)     (-4.1596,0)     (5.73393,0)    (-8.99969,0)     (1.62643,0)    (-1.72625,0)     (3.25437,0)    (-4.54486,0)     (5.63373,0)    (-6.18971,0)     (5.99288,0)    (-2.19047,0)    (-3.29275,0)     (4.98675,0)    (-5.45526,0)     (4.99194,0)    (-3.72313,0)    (0.696187,0)     (-3.1483,0)     (3.58415,0)    (-2.72467,0)     (1.47566,0)    (0.415061,0)    (-1.51649,0)     (1.11229,0)   (-0.374301,0)   (-0.609124,0)   (-0.205975,0)  (-0.0745409,0)    (0.544022,0)    (0.115369,0)   (-0.353374,0)    (0.178316,0) 
  (0.0445809,0)    (-4.53044,0)   (0.0166256,0)   (-0.130782,0)    (0.129071,0)  (-0.0931309,0) (-0.00608022,0)    (0.246986,0)   (-0.787359,0)     (1.86971,0)    (-4.06046,0)     (10.1633,0)     (2.80225,0)    (-2.03264,0)    (0.711693,0)  (-0.0554937,0)   (-0.122714,0)    (0.152854,0)   (-0.119293,0)   (0.0839679,0)  (-0.0516751,0)  (0.00658238,0)  (-0.0522064,0)   (-0.348014,0)   (-0.978484,0)    (-1.57357,0)    (-1.57475,0)    (-0.98919,0)   (-0.346526,0)  (-0.0702198,0)    (0.349605,0)   (-0.864364,0)     (1.57375,0)    (-2.73714,0)     (4.57576,0)    (-7.09187,0)     (9.80392,0)    (-11.6356,0)     (1.58245,0)    (-3.31549,0)     (5.24887,0)    (-7.52785,0)     (9.54391,0)    (-10.0707,0)      (7.5957,0)      (3.7801,0)    (-6.56685,0)     (8.43487,0)    (-9.11703,0)      (7.8098,0)    (-4.42852,0)     (4.99909,0)    (-6.97115,0)     (6.70771,0)    (-4.80522,0)     (2.06955,0)     (3.98015,0)    (-4.14717,0)     (2.59849,0)    (-0.85972,0)     (1.80348,0)    (-1.19879,0)    (0.276699,0)    (0.375506,0)  (-0.0628693,0)  (-0.0150737,0) 
  (0.0244397,0)    (-4.28299,0)   (0.0551111,0)  (-0.0702198,0)    (0.109026,0)   (-0.150316,0)      (0.1895,0)   (-0.167376,0) (-0.00880402,0)     (0.66423,0)    (-2.03084,0)     (2.80225,0)     (10.4647,0)      (-3.745,0)     (1.69979,0)   (-0.666779,0)    (0.150961,0)    (0.073787,0)   (-0.160641,0)    (0.184889,0)   (-0.172879,0)  (-0.0356339,0)   (-0.293572,0)   (-0.927563,0)    (-1.54656,0)    (-1.60535,0)    (-1.04078,0)   (-0.396203,0)  (-0.0726722,0)  (0.00261609,0)   (0.0017502,0)  (-0.0846688,0)    (0.305896,0)   (-0.897183,0)      (2.1394,0)    (-4.54839,0)     (7.90716,0)    (-12.7156,0)    (0.427996,0)    (-1.23829,0)     (2.62764,0)    (-4.84731,0)     (7.86727,0)    (-10.2215,0)      (10.049,0)     (1.88766,0)    (-4.18429,0)     (6.73787,0)    (-9.15143,0)      (9.6405,0)    (-7.19519,0)     (4.05668,0)    (-7.00834,0)     (8.46987,0)    (-7.60646,0)     (4.62887,0)     (5.01305,0)    (-6.58083,0)      (5.2977,0)    (-2.75173,0)       (3.721,0)    (-3.31636,0)     (1.55549,0)     (1.50672,0)   (-0.814985,0)    (0.272602,0) 
   (0.154047,0)     (2.17243,0)  (-0.0641595,0)   (-0.346526,0)    (0.402989,0)   (-0.405409,0)    (0.357339,0)   (-0.291489,0)    (0.218146,0)   (-0.456365,0)     (1.25144,0)    (-2.03264,0)      (-3.745,0)     (8.79719,0)     (-1.7554,0)    (0.810277,0)   (-0.333985,0)   (0.0557791,0)    (0.094357,0)   (-0.171392,0)    (0.193909,0)   (0.0642971,0)    (0.351656,0)    (0.917189,0)      (1.1781,0)    (0.844314,0)    (0.290002,0)  (0.00944967,0)  (-0.0431867,0)  (-0.0726722,0)    (0.245973,0)   (-0.469019,0)    (0.709593,0)   (-0.833482,0)    (0.681466,0)    (0.371021,0)    (-1.94208,0)     (1.36497,0)     (0.12386,0)  (-0.0697543,0)    (-0.40153,0)     (1.56906,0)    (-3.90658,0)     (6.49315,0)    (-10.4818,0)   (-0.250202,0)     (1.16109,0)    (-2.80033,0)     (5.09118,0)    (-6.42291,0)     (6.07898,0)    (-1.59837,0)     (3.64979,0)     (-5.5193,0)     (5.77742,0)    (-4.30128,0)    (-3.21872,0)     (5.03626,0)    (-4.64357,0)     (2.93185,0)    (-3.29011,0)     (3.29526,0)    (-1.87396,0)    (-1.67688,0)     (1.09227,0)   (-0.417918,0) 
   (0.499913,0)   (-0.962347,0)   (0.0628794,0)    (-0.98919,0)    (0.953609,0)   (-0.767155,0)    (0.551027,0)   (-0.344686,0)    (0.281652,0)   (-0.071819,0)   (-0.450843,0)    (0.711693,0)     (1.69979,0)     (-1.7554,0)     (8.13542,0)   (-0.892914,0)    (0.447073,0)   (-0.205473,0)   (0.0225038,0)    (0.107398,0)   (-0.181499,0)  (-0.0971993,0)   (-0.367978,0)   (-0.764394,0)    (-0.67537,0)   (-0.215576,0)   (0.0532398,0)      (0.1092,0)  (0.00944967,0)   (-0.396203,0)     (1.10522,0)    (-1.60789,0)     (1.79362,0)    (-1.68772,0)     (1.26916,0)    (-1.38944,0)     (1.82047,0)    (-1.05073,0)   (-0.314588,0)    (0.954891,0)    (-1.69918,0)     (2.24913,0)    (-1.61546,0)    (0.696094,0)     (-2.2327,0)   (-0.351435,0)     (0.34075,0)    (0.391352,0)    (-2.42517,0)     (4.53666,0)    (-8.62332,0)    (0.096303,0)    (-1.05159,0)     (2.77665,0)    (-3.65648,0)     (3.70846,0)     (1.34998,0)    (-2.97191,0)     (3.27717,0)    (-2.64699,0)     (2.35614,0)    (-2.71309,0)     (1.92324,0)     (1.59276,0)    (-1.26546,0)    (0.557145,0) 
   (0.928149,0)    (0.337563,0)  (-0.0437979,0)    (-1.57475,0)     (1.16417,0)   (-0.633837,0)    (0.214892,0) (-0.00646164,0)   (-0.250713,0)    (0.296083,0)    (0.159554,0)  (-0.0554937,0)   (-0.666779,0)    (0.810277,0)   (-0.892914,0)     (8.03117,0)   (-0.580667,0)    (0.334412,0)   (-0.179984,0)   (0.0166905,0)    (0.118226,0)    (0.132118,0)    (0.342193,0)    (0.579794,0)    (0.256721,0)  (-0.0580131,0)   (-0.184797,0)   (0.0532398,0)    (0.290002,0)    (-1.04078,0)     (2.47683,0)    (-2.88631,0)     (2.47952,0)    (-1.65424,0)     (1.15963,0)   (-0.226865,0)   (-0.878084,0)  (-0.0552957,0)    (-1.43671,0)     (2.64373,0)     (-3.1928,0)     (2.61985,0)    (-2.30014,0)     (1.83859,0)    (0.458108,0)    (0.402007,0)    (-1.58637,0)     (3.04852,0)    (-3.14229,0)     (2.72531,0)    (-4.48029,0)    (0.553907,0)    (-0.38058,0)     (-1.4082,0)     (3.41958,0)    (-7.74213,0)   (-0.226349,0)     (1.56602,0)    (-2.26106,0)     (2.51657,0)    (-1.43028,0)     (1.95309,0)    (-1.76328,0)    (-1.35441,0)     (1.30812,0)   (-0.660847,0) 
    (1.12228,0)  (-0.0779427,0)  (-0.0344937,0)    (-1.57357,0)    (0.791267,0)   (-0.174934,0)   (-0.076701,0)    (0.223911,0)  (-0.0340778,0)   (-0.303371,0)    (-0.20812,0)   (-0.122714,0)    (0.150961,0)   (-0.333985,0)    (0.447073,0)   (-0.580667,0)     (8.02183,0)   (-0.548285,0)    (0.377485,0)   (-0.243933,0)   (0.0543607,0)   (-0.115454,0)   (-0.313113,0)   (-0.386108,0)  (-0.0417702,0)    (0.261095,0)  (-0.0580131,0)   (-0.215576,0)    (0.844314,0)    (-1.60535,0)     (3.15699,0)    (-2.72893,0)     (1.47817,0)   (-0.538067,0)   (-0.537317,0)     (0.74398,0)    (0.743315,0)    (0.549842,0)     (-2.8234,0)     (3.76475,0)    (-3.09364,0)     (2.24413,0)   (-0.630757,0)    (-1.17454,0)   (-0.866729,0)     (1.61842,0)    (-3.22722,0)     (3.31619,0)    (-2.97322,0)      (2.1172,0)     (1.34833,0)   (-0.691543,0)     (2.55583,0)    (-3.42137,0)     (3.47115,0)    (-5.68421,0)   (-0.579269,0)    (-0.70718,0)     (2.72704,0)    (-7.01909,0)    (0.860799,0)    (-1.58529,0)     (1.76452,0)     (1.06215,0)    (-1.13432,0)    (0.645646,0) 
   (0.897096,0)  (-0.0249168,0)    (0.234281,0)   (-0.978484,0)    (0.248656,0)   (0.0624961,0)    (-0.15221,0)  (-0.0487875,0)    (0.194148,0)    (0.452085,0)    (0.254969,0)    (0.152854,0)    (0.073787,0)   (0.0557791,0)   (-0.205473,0)    (0.334412,0)   (-0.548285,0)       (7.982,0)   (-0.773199,0)    (0.627774,0)   (-0.460529,0) (-0.00718992,0)     (0.27074,0)    (0.336309,0)   (-0.280776,0)  (-0.0417702,0)    (0.256721,0)    (-0.67537,0)      (1.1781,0)    (-1.54656,0)     (2.36531,0)    (-1.29542,0)    (0.296311,0)    (0.480509,0)   (-0.158257,0)    (-1.15698,0)    (-1.01277,0)   (-0.619195,0)    (-2.82472,0)     (2.46002,0)    (-1.31633,0)   (-0.392355,0)     (1.32446,0)     (1.44448,0)     (1.11482,0)      (2.5182,0)    (-3.10209,0)     (2.68803,0)    (-1.17911,0)    (-1.70819,0)    (-1.44495,0)    (-1.75973,0)     (2.68236,0)    (-2.77478,0)     (2.62156,0)      (2.0707,0)     (1.34294,0)    (-2.70009,0)     (2.90537,0)    (-6.36473,0)   (-0.235222,0)     (2.25023,0)    (-5.89072,0)     (-1.1499,0)    (0.951607,0)   (-0.300921,0) 
   (0.461602,0)   (0.0541579,0)   (-0.729253,0)   (-0.348014,0) (-0.00265172,0)   (0.0886201,0)   (0.0430945,0)   (-0.159608,0)   (-0.523537,0)   (-0.605952,0)   (-0.296662,0)   (-0.119293,0)   (-0.160641,0)    (0.094357,0)   (0.0225038,0)   (-0.179984,0)    (0.377485,0)   (-0.773199,0)     (7.98569,0)    (-1.45314,0)     (1.28187,0)    (0.507914,0)    (-0.54144,0)  (-0.0642951,0)    (0.336309,0)   (-0.386108,0)    (0.579794,0)   (-0.764394,0)    (0.917189,0)   (-0.927563,0)    (0.986243,0)   (-0.235065,0)   (-0.299892,0)   (0.0541002,0)     (1.05418,0)     (1.88993,0)      (1.2484,0)    (0.532642,0)     (-1.4662,0)    (0.774093,0)    (0.316994,0)   (-0.817466,0)    (-2.40015,0)    (-2.09729,0)    (-1.10101,0)     (1.68237,0)    (-1.41841,0)    (0.230361,0)     (2.27417,0)     (2.52524,0)     (1.61925,0)    (-1.66946,0)     (1.97639,0)    (-1.94559,0)    (-2.83844,0)    (-2.19245,0)     (1.34383,0)    (-1.46389,0)     (3.46038,0)     (3.09452,0)    (-1.63106,0)     (1.14015,0)    (-7.04617,0)     (1.98673,0)    (-3.87978,0)   (-0.403691,0) 
   (0.127715,0)  (-0.0601196,0)     (1.69545,0)  (-0.0522064,0)  (-0.0341453,0)  (0.00463803,0)     (0.21904,0)    (0.652963,0)    (0.931424,0)    (0.742861,0)    (0.295974,0)   (0.0839679,0)    (0.184889,0)   (-0.171392,0)    (0.107398,0)   (0.0166905,0)   (-0.243933,0)    (0.627774,0)    (-1.45314,0)     (8.38395,0)    (-3.02434,0)    (-1.44079,0)     (1.23408,0)    (-0.54144,0)     (0.27074,0)   (-0.313113,0)    (0.342193,0)   (-0.367978,0)    (0.351656,0)   (-0.293572,0)    (0.180503,0)    (0.111567,0)     (-0.1749,0)    (-1.24656,0)    (-2.55889,0)    (-2.65228,0)    (-1.34536,0)   (-0.400958,0)   (-0.357971,0)  (-0.0890393,0)     (0.90856,0)     (2.89999,0)     (4.04439,0)     (2.60611,0)    (0.946483,0)    (0.561353,0)    (-0.27559,0)    (-2.21358,0)    (-4.43502,0)    (-3.66719,0)    (-1.57759,0)   (-0.665962,0)     (1.16758,0)     (4.09751,0)     (4.56294,0)     (2.43359,0)    (0.591762,0)     (-3.0586,0)    (-5.07807,0)    (-3.54801,0)    (0.248118,0)     (4.95731,0)     (5.05124,0)    (-1.19714,0)    (-8.43578,0)   (-0.667639,0) 
