Real Part:
    3.69554  -0.0134058   -0.014883    -4.53044     2.24575   -0.999311    0.364482  -0.0986043 -0.00662565   0.0383966  -0.0467683   0.0445809   0.0244397    0.154047    0.499913    0.928149     1.12228    0.897096    0.461602    0.127715   0.0096877   0.0547874  -0.0601196   0.0541579  -0.0249168  -0.0779427    0.337563   -0.962347     2.17243    -4.28299     7.21907    -6.08319     4.05101    -2.34404     1.27854   -0.668283    0.342962   -0.128612    -6.07895     7.17094    -6.16426     4.38593    -2.80849     1.63914   -0.732905     4.05964    -6.18505      6.4709    -5.37073     3.81948    -2.02742    -2.34554      4.4042    -5.37296     4.93505    -3.20026     1.27453    -2.82005     3.81274    -3.17922   -0.652912     1.62853    -1.97846    0.317403   -0.688623  -0.0936198
 -0.0134058     3.69554   -0.014883   0.0445809  -0.0467683   0.0383966 -0.00662565  -0.0986043    0.364482   -0.999311     2.24575    -4.53044    -4.28299     2.17243   -0.962347    0.337563  -0.0779427  -0.0249168   0.0541579  -0.0601196   0.0547874   0.0096877    0.127715    0.461602    0.897096     1.12228    0.928149    0.499913    0.154047   0.0244397   -0.128612    0.342962   -0.668283     1.27854    -2.34404     4.05101    -6.08319     7.21907   -0.732905     1.63914    -2.80849     4.38593    -6.16426     7.17094    -6.07895    -2.02742     3.81948    -5.37073      6.4709    -6.18505     4.05964    -3.20026     4.93505    -5.37296      4.4042    -2.34554    -3.17922     3.81274    -2.82005     1.27453    -1.97846     1.62853   -0.652912   -0.688623    0.317403  -0.0936198
  -0.014883   -0.014883     2.97942   0.0166256    0.112357    0.384322    0.727648     0.89392    0.727648    0.384322    0.112357   0.0166256   0.0551111  -0.0641595   0.0628794  -0.0437979  -0.0344937    0.234281   -0.729253     1.69545    -3.56246    -3.56246     1.69545   -0.729253    0.234281  -0.0344937  -0.0437979   0.0628794  -0.0641595   0.0551111  -0.0899657   -0.559758    -1.60517     -2.5613     -2.5613    -1.60517   -0.559758  -0.0899657    0.266831     1.29964     3.06545     3.96009     3.06545     1.29964    0.266831   -0.533722    -2.25147    -4.31595    -4.31595    -2.25147   -0.533722     1.03403     3.52114      5.2103     3.52114     1.03403    -1.89424    -4.96659    -4.96659    -1.89424     3.28966     5.77076     3.28966    -4.94531    -4.94531     6.00045
   -4.53044   0.0445809   0.0166256     10.1633    -4.06046     1.86971   -0.787359    0.246986 -0.00608022  -0.0931309    0.129071   -0.130782  -0.0702198   -0.346526    -0.98919    -1.57475    -1.57357   -0.978484   -0.348014  -0.0522064  0.00658238  -0.0516751   0.0839679   -0.119293    0.152854   -0.122714  -0.0554937    0.711693    -2.03264     2.80225    -11.6356     9.80392    -7.09187     4.57576    -2.73714     1.57375   -0.864364    0.349605      7.5957    -10.0707     9.54391    -7.52785     5.24887    -3.31549     1.58245    -4.42852      7.8098    -9.11703     8.43487    -6.56685      3.7801     2.06955    -4.80522     6.70771    -6.97115     4.99909    -0.85972     2.59849    -4.14717     3.98015    0.276699    -1.19879     1.80348  -0.0628693    0.375506  -0.0150737
    2.24575  -0.0467683    0.112357    -4.06046     8.09808    -2.07228      1.0087   -0.485884    0.180755  -0.0103183  -0.0852709    0.129071    0.109026    0.402989    0.953609     1.16417    0.791267    0.248656 -0.00265172  -0.0341453  -0.0515723    -0.25411    0.295974   -0.296662    0.254969    -0.20812    0.159554   -0.450843     1.25144    -2.03084     1.62643    -8.99969     5.73393     -4.1596     2.87252    -1.87303      1.1403   -0.508699    -2.19047     5.99288    -6.18971     5.63373    -4.54486     3.25437    -1.72625    0.696187    -3.72313     4.99194    -5.45526     4.98675    -3.29275    0.415061     1.47566    -2.72467     3.58415     -3.1483   -0.609124   -0.374301     1.11229    -1.51649    0.544022  -0.0745409   -0.205975   -0.353374    0.115369    0.178316
  -0.999311   0.0383966    0.384322     1.86971    -2.07228     7.22398    -1.21683    0.663914   -0.378021    0.166122  -0.0103183  -0.0931309   -0.150316   -0.405409   -0.767155   -0.633837   -0.174934   0.0624961   0.0886201  0.00463803   -0.299691   -0.764277    0.742861   -0.605952    0.452085   -0.303371    0.296083   -0.071819   -0.456365     0.66423    -1.08427    -1.77998    -6.89801     3.32153    -2.49603     1.87736    -1.29674    0.651212     1.82548    0.150855     3.92067    -3.38427     3.11356    -2.61569     1.59209    -1.27274   -0.948836    -2.23416     2.67248    -2.90259     2.30581    0.930273      1.7461    0.320223   -0.970793     1.26524    -1.27367     -1.3367     0.32773   0.0480006     1.35482    0.755321   -0.318046    -1.22351    -0.23825    0.839924
   0.364482 -0.00662565    0.727648   -0.787359      1.0087    -1.21683     7.01399   -0.920679    0.576049   -0.378021    0.180755 -0.00608022      0.1895    0.357339    0.551027    0.214892   -0.076701    -0.15221   0.0430945     0.21904   -0.806615    -1.24249    0.931424   -0.523537    0.194148  -0.0340778   -0.250713    0.281652    0.218146 -0.00880402   -0.138079    0.406374    -3.89176    -5.86805     2.09769    -1.61237     1.28868   -0.741418   -0.928361     1.84783     1.91971     2.77152    -1.96971     1.78636    -1.28621   -0.235545    -1.99042    -2.23092    -1.27428     1.47079    -1.35391     1.13868     1.89944     2.46436   -0.395249   -0.150764    -1.36282    -2.43456    -1.27491    0.505009     1.97758     2.02161    0.315535    -2.26292    -1.09891       1.928
 -0.0986043  -0.0986043     0.89392    0.246986   -0.485884    0.663914   -0.920679     6.98361   -0.920679    0.663914   -0.485884    0.246986   -0.167376   -0.291489   -0.344686 -0.00646164    0.223911  -0.0487875   -0.159608    0.652963    -1.26586    -1.26586    0.652963   -0.159608  -0.0487875    0.223911 -0.00646164   -0.344686   -0.291489   -0.167376    0.664042   -0.981808      1.3018    -5.06711    -5.06711      1.3018   -0.981808    0.664042    0.921787    -1.30441      2.1489     2.51921      2.1489    -1.30441    0.921787    0.768449   -0.660882    -2.48905    -2.48905   -0.660882    0.768449   -0.551655      2.1156     2.39269      2.1156   -0.551655   -0.558178    -2.47952    -2.47952   -0.558178     1.24293     2.97453     1.24293    -2.20719    -2.20719     2.51071
-0.00662565    0.364482    0.727648 -0.00608022    0.180755   -0.378021    0.576049   -0.920679     7.01399    -1.21683      1.0087   -0.787359 -0.00880402    0.218146    0.281652   -0.250713  -0.0340778    0.194148   -0.523537    0.931424    -1.24249   -0.806615     0.21904   0.0430945    -0.15221   -0.076701    0.214892    0.551027    0.357339      0.1895   -0.741418     1.28868    -1.61237     2.09769    -5.86805    -3.89176    0.406374   -0.138079    -1.28621     1.78636    -1.96971     2.77152     1.91971     1.84783   -0.928361    -1.35391     1.47079    -1.27428    -2.23092    -1.99042   -0.235545   -0.150764   -0.395249     2.46436     1.89944     1.13868    0.505009    -1.27491    -2.43456    -1.36282    0.315535     2.02161     1.97758    -1.09891    -2.26292       1.928
  0.0383966   -0.999311    0.384322  -0.0931309  -0.0103183    0.166122   -0.378021    0.663914    -1.21683     7.22398    -2.07228     1.86971     0.66423   -0.456365   -0.071819    0.296083   -0.303371    0.452085   -0.605952    0.742861   -0.764277   -0.299691  0.00463803   0.0886201   0.0624961   -0.174934   -0.633837   -0.767155   -0.405409   -0.150316    0.651212    -1.29674     1.87736    -2.49603     3.32153    -6.89801    -1.77998    -1.08427     1.59209    -2.61569     3.11356    -3.38427     3.92067    0.150855     1.82548     2.30581    -2.90259     2.67248    -2.23416   -0.948836    -1.27274     1.26524   -0.970793    0.320223      1.7461    0.930273   0.0480006     0.32773     -1.3367    -1.27367   -0.318046    0.755321     1.35482    -0.23825    -1.22351    0.839924
 -0.0467683     2.24575    0.112357    0.129071  -0.0852709  -0.0103183    0.180755   -0.485884      1.0087    -2.07228     8.09808    -4.06046    -2.03084     1.25144   -0.450843    0.159554    -0.20812    0.254969   -0.296662    0.295974    -0.25411  -0.0515723  -0.0341453 -0.00265172    0.248656    0.791267     1.16417    0.953609    0.402989    0.109026   -0.508699      1.1403    -1.87303     2.87252     -4.1596     5.73393    -8.99969     1.62643    -1.72625     3.25437    -4.54486     5.63373    -6.18971     5.99288    -2.19047    -3.29275     4.98675    -5.45526     4.99194    -3.72313    0.696187     -3.1483     3.58415    -2.72467     1.47566    0.415061    -1.51649     1.11229   -0.374301   -0.609124   -0.205975  -0.0745409    0.544022    0.115369   -0.353374    0.178316
  0.0445809    -4.53044   0.0166256   -0.130782    0.129071  -0.0931309 -0.00608022    0.246986   -0.787359     1.86971    -4.06046     10.1633     2.80225    -2.03264    0.711693  -0.0554937   -0.122714    0.152854   -0.119293   0.0839679  -0.0516751  0.00658238  -0.0522064   -0.348014   -0.978484    -1.57357    -1.57475    -0.98919   -0.346526  -0.0702198    0.349605   -0.864364     1.57375    -2.73714     4.57576    -7.09187     9.80392    -11.6356     1.58245    -3.31549     5.24887    -7.52785     9.54391    -10.0707      7.5957      3.7801    -6.56685     8.43487    -9.11703      7.8098    -4.42852     4.99909    -6.97115     6.70771    -4.80522     2.06955     3.98015    -4.14717     2.59849    -0.85972     1.80348    -1.19879    0.276699    0.375506  -0.0628693  -0.0150737
  0.0244397    -4.28299   0.0551111  -0.0702198    0.109026   -0.150316      0.1895   -0.167376 -0.00880402     0.66423    -2.03084     2.80225     10.4647      -3.745     1.69979   -0.666779    0.150961    0.073787   -0.160641    0.184889   -0.172879  -0.0356339   -0.293572   -0.927563    -1.54656    -1.60535    -1.04078   -0.396203  -0.0726722  0.00261609   0.0017502  -0.0846688    0.305896   -0.897183      2.1394    -4.54839     7.90716    -12.7156    0.427996    -1.23829     2.62764    -4.84731     7.86727    -10.2215      10.049     1.88766    -4.18429     6.73787    -9.15143      9.6405    -7.19519     4.05668    -7.00834     8.46987    -7.60646     4.62887     5.01305    -6.58083      5.2977    -2.75173       3.721    -3.31636     1.55549     1.50672   -0.814985    0.272602
   0.154047     2.17243  -0.0641595   -0.346526    0.402989   -0.405409    0.357339   -0.291489    0.218146   -0.456365     1.25144    -2.03264      -3.745     8.79719     -1.7554    0.810277   -0.333985   0.0557791    0.094357   -0.171392    0.193909   0.0642971    0.351656    0.917189      1.1781    0.844314    0.290002  0.00944967  -0.0431867  -0.0726722    0.245973   -0.469019    0.709593   -0.833482    0.681466    0.371021    -1.94208     1.36497     0.12386  -0.0697543    -0.40153     1.56906    -3.90658     6.49315    -10.4818   -0.250202     1.16109    -2.80033     5.09118    -6.42291     6.07898    -1.59837     3.64979     -5.5193     5.77742    -4.30128    -3.21872     5.03626    -4.64357     2.93185    -3.29011     3.29526    -1.87396    -1.67688     1.09227   -0.417918
   0.499913   -0.962347   0.0628794    -0.98919    0.953609   -0.767155    0.551027   -0.344686    0.281652   -0.071819   -0.450843    0.711693     1.69979     -1.7554     8.13542   -0.892914    0.447073   -0.205473   0.0225038    0.107398   -0.181499  -0.0971993   -0.367978   -0.764394    -0.67537   -0.215576   0.0532398      0.1092  0.00944967   -0.396203     1.10522    -1.60789     1.79362    -1.68772     1.26916    -1.38944     1.82047    -1.05073   -0.314588    0.954891    -1.69918     2.24913    -1.61546    0.696094     -2.2327   -0.351435     0.34075    0.391352    -2.42517     4.53666    -8.62332    0.096303    -1.05159     2.77665    -3.65648     3.70846     1.34998    -2.97191     3.27717    -2.64699     2.35614    -2.71309     1.92324     1.59276    -1.26546    0.557145
